,date,open,high,low,close,volume,SMA_20,EMA_50,RSI,stoch_k,stoch_d,BB_upper,BB_middle,BB_lower,ATR,ROC,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,rolling_mean,rolling_std,target
37,2025-01-20 02:40:00,3259.0,3259.33,3234.5,3238.89,5680.5547,3219.1639999999998,3205.473940558121,60.2271993803653,64.72495088408621,82.1152586771445,3276.5782408155073,3219.1639999999998,3161.749759184492,19.99000000000001,1.7491777168330032,3258.99,3271.9,3268.2,3256.98,3246.46,3227.72,3225.99,3220.45,3249.39125,17.510274891777037,0.0006885074825018211
38,2025-01-20 02:45:00,3238.89,3251.2,3233.7,3248.36,4441.3424,3221.5585,3207.155746810744,62.040288301607816,74.02750491159135,74.40733464309083,3279.6802318809596,3221.5585,3163.4367681190406,20.06214285714288,1.4792206209914966,3238.89,3258.99,3271.9,3268.2,3256.98,3246.46,3227.72,3225.99,3252.1875,14.81871861627885,0.0013914713886391539
39,2025-01-20 02:50:00,3248.39,3262.1,3243.31,3246.49,4720.5648,3223.638,3208.6982665436562,72.55763688760786,72.19056974459691,70.31434184675815,3282.2243866350145,3223.638,3165.0516133649853,19.18500000000001,0.8085826514928026,3248.36,3238.89,3258.99,3271.9,3268.2,3256.98,3246.46,3227.72,3254.53375,11.507294503296102,0.0067519074446555916
40,2025-01-20 02:55:00,3246.49,3258.75,3240.9,3245.07,4373.4772,3225.922,3210.1246090321406,71.30093702331658,70.7956777996071,72.33791748526512,3284.0883029958977,3225.922,3167.7556970041023,19.32357142857141,0.5914463467028845,3246.49,3248.36,3238.89,3258.99,3271.9,3268.2,3256.98,3246.46,3254.3599999999997,11.656147366451995,0.0036301220004497647
41,2025-01-20 03:00:00,3245.07,3248.06,3228.06,3242.31,3525.6105,3228.216,3211.3867812269586,71.53476169654554,65.2587681779296,69.41500524071121,3285.0894589473123,3228.216,3171.3425410526875,19.617857142857115,0.45202186063227745,3245.07,3246.49,3248.36,3238.89,3258.99,3271.9,3268.2,3256.98,3252.52625,12.32011936108193,0.0020633437271575517
42,2025-01-20 03:05:00,3242.31,3249.84,3237.04,3241.12,2084.9938,3230.4955,3212.5527898062937,66.62797446314546,56.75398048279373,64.26947548677681,3285.47591813132,3230.4955,3175.5150818686798,19.078571428571422,-0.1644868564528793,3242.31,3245.07,3246.49,3248.36,3238.89,3258.99,3271.9,3268.2,3249.14125,11.053555908130694,0.006624253344522879
43,2025-01-20 03:10:00,3241.13,3256.42,3238.81,3252.88,1974.5818,3232.7795,3214.1342490295765,64.35845213849285,62.94167371090441,61.651474123875914,3287.479779408505,3232.7795,3178.0792205914954,18.211428571428574,-0.1258834871568112,3241.12,3242.31,3245.07,3246.49,3248.36,3238.89,3258.99,3271.9,3246.76375,6.612382189058368,0.003310912176286873
44,2025-01-20 03:15:00,3252.88,3272.0,3248.6,3268.41,4149.5593,3235.7365,3216.262709851946,67.25512528473794,87.3365041617116,69.01071945180324,3291.469947682037,3235.7365,3180.003052317963,18.635000000000023,0.006425555351570785,3252.88,3241.12,3242.31,3245.07,3246.49,3248.36,3238.89,3258.99,3247.9412500000003,9.365987763477113,0.0013768162501033299
45,2025-01-20 03:20:00,3268.41,3277.7,3252.09,3256.85,4368.3297,3239.3855,3217.8543682891245,60.97175141242934,60.72706724430207,70.33508170563935,3290.1561373802815,3239.3855,3188.614862619718,19.788571428571426,-0.4599773831718629,3268.41,3252.88,3241.12,3242.31,3245.07,3246.49,3248.36,3238.89,3250.1862499999997,9.033055071705013,0.0025699679137816123
46,2025-01-20 03:25:00,3256.84,3258.82,3243.01,3249.0,2643.3303,3242.5145,3219.07576561112,51.04217955030361,42.18372280419039,63.41576473673468,3286.8461574422727,3242.5145,3198.182842557728,19.267857142857142,-0.3065366877468106,3256.85,3268.41,3252.88,3241.12,3242.31,3245.07,3246.49,3248.36,3250.2662499999997,9.017391034623746,0.006835949522930207
