,date,open,high,low,close,volume
135,2022-09-11,21647.21,21860.0,21350.0,21826.87,280702.55149
136,2022-09-12,21826.87,22488.0,21538.51,22395.74,395395.61828
137,2022-09-13,22395.44,22799.0,19860.0,20173.57,431915.03333
138,2022-09-14,20173.62,20541.48,19617.62,20226.71,340826.40151
139,2022-09-15,20227.17,20330.24,19497.0,19701.88,333069.76076
140,2022-09-16,19701.88,19890.0,19320.01,19803.3,283791.07064
141,2022-09-17,19803.3,20189.0,19748.08,20113.62,179350.24338
142,2022-09-18,20112.61,20117.26,19335.62,19416.18,254217.46904
143,2022-09-19,19417.45,19686.2,18232.56,19537.02,380512.40306
144,2022-09-20,19537.02,19634.62,18711.87,18875.0,324098.3286
145,2022-09-21,18874.31,19956.0,18125.98,18461.36,385034.10021
146,2022-09-22,18461.36,19550.17,18356.39,19401.63,379321.72111
147,2022-09-23,19401.63,19500.0,18531.42,19289.91,385886.91829
148,2022-09-24,19288.57,19316.14,18805.34,18920.5,239496.56746
149,2022-09-25,18921.99,19180.21,18629.2,18807.38,191191.4492
150,2022-09-26,18809.13,19318.96,18680.72,19227.82,439239.21943
151,2022-09-27,19226.68,20385.86,18816.32,19079.13,593260.74161
152,2022-09-28,19078.1,19790.0,18471.28,19412.82,521385.45547
153,2022-09-29,19412.82,19645.52,18843.01,19591.51,406424.93256
154,2022-09-30,19590.54,20185.0,19155.36,19422.61,444322.9534
155,2022-10-01,19422.61,19484.0,19159.42,19310.95,165625.13959
156,2022-10-02,19312.24,19395.91,18920.35,19056.8,206812.47032
157,2022-10-03,19057.74,19719.1,18959.68,19629.08,293585.75212
158,2022-10-04,19629.08,20475.0,19490.6,20337.82,327012.00127
159,2022-10-05,20337.82,20365.6,19730.0,20158.26,312239.75224
160,2022-10-06,20158.26,20456.6,19853.0,19960.67,320122.1702
161,2022-10-07,19960.67,20068.82,19320.0,19530.09,220874.83913
162,2022-10-08,19530.09,19627.38,19237.14,19417.96,102480.09842
163,2022-10-09,19416.52,19558.0,19316.04,19439.02,113900.82681
164,2022-10-10,19439.96,19525.0,19020.25,19131.87,212509.09849
165,2022-10-11,19131.87,19268.09,18860.0,19060.0,243473.84286
166,2022-10-12,19060.0,19238.31,18965.88,19155.53,213826.26731
167,2022-10-13,19155.1,19513.79,18190.0,19375.13,399756.68337
168,2022-10-14,19375.58,19951.87,19070.37,19176.93,351634.32601
169,2022-10-15,19176.93,19227.68,18975.18,19069.39,113847.64232
170,2022-10-16,19068.4,19425.84,19063.74,19262.98,131894.61885
171,2022-10-17,19262.98,19676.96,19152.03,19549.86,222813.87634
172,2022-10-18,19548.48,19706.66,19091.0,19327.44,260313.07848
173,2022-10-19,19327.44,19360.16,19065.97,19123.97,186137.29538
174,2022-10-20,19123.35,19347.82,18900.0,19041.92,223530.13068
175,2022-10-21,19041.92,19250.0,18650.0,19164.37,269310.75769
176,2022-10-22,19164.37,19257.0,19112.72,19204.35,110403.90837
177,2022-10-23,19204.29,19695.0,19070.11,19570.4,167057.20184
178,2022-10-24,19570.4,19601.15,19157.0,19329.72,256168.14467
179,2022-10-25,19330.6,20415.87,19237.0,20080.07,326370.67061
180,2022-10-26,20079.02,21020.0,20050.41,20771.59,380492.69576
181,2022-10-27,20771.61,20872.21,20200.0,20295.11,328643.57791
182,2022-10-28,20295.11,20750.0,20000.09,20591.84,287039.94569
183,2022-10-29,20591.84,21085.0,20554.01,20809.67,254881.77755
184,2022-10-30,20809.68,20931.21,20515.0,20627.48,192795.60886
185,2022-10-31,20627.48,20845.92,20237.95,20490.74,303567.61628
186,2022-11-01,20490.74,20700.0,20330.74,20483.62,279932.43771
187,2022-11-02,20482.81,20800.0,20048.04,20151.84,373716.27299
188,2022-11-03,20151.84,20393.32,20031.24,20207.82,319185.1544
189,2022-11-04,20207.12,21302.05,20180.96,21148.52,453694.39165
190,2022-11-05,21148.52,21480.65,21080.65,21299.37,245621.98525
191,2022-11-06,21299.37,21365.27,20886.13,20905.58,230036.97217
192,2022-11-07,20905.58,21069.77,20384.89,20591.13,386977.60337
193,2022-11-08,20590.67,20700.88,17166.83,18547.23,760705.362783
194,2022-11-09,18545.38,18587.76,15588.0,15922.81,731926.929729
195,2022-11-10,15922.68,18199.0,15754.26,17601.15,608448.36432
196,2022-11-11,17602.45,17695.0,16361.6,17070.31,393552.86492
197,2022-11-12,17069.98,17119.1,16631.39,16812.08,167819.96035
198,2022-11-13,16813.16,16954.28,16229.0,16329.85,184960.78846
199,2022-11-14,16331.78,17190.0,15815.21,16619.46,380210.7775
200,2022-11-15,16617.72,17134.69,16527.72,16900.57,282461.84391
201,2022-11-16,16900.57,17015.92,16378.61,16662.76,261493.40809
202,2022-11-17,16661.61,16751.0,16410.74,16692.56,228038.97873
203,2022-11-18,16692.56,17011.0,16546.04,16700.45,214224.18184
204,2022-11-19,16699.43,16822.41,16553.53,16700.68,104963.15558
205,2022-11-20,16700.68,16753.33,16180.0,16280.23,154842.13478
206,2022-11-21,16279.5,16319.0,15476.0,15781.29,324096.997753
207,2022-11-22,15781.29,16315.0,15616.63,16226.94,239548.06623
208,2022-11-23,16227.96,16706.0,16160.2,16603.11,264927.70408
209,2022-11-24,16603.11,16812.63,16458.05,16598.95,206565.92346
210,2022-11-25,16599.55,16666.0,16342.81,16522.14,182089.49533
211,2022-11-26,16521.35,16701.99,16385.0,16458.57,181804.81666
212,2022-11-27,16457.61,16600.0,16401.0,16428.78,162025.47607
213,2022-11-28,16428.77,16487.04,15995.27,16212.91,252695.40367
214,2022-11-29,16212.18,16548.71,16100.0,16442.53,248106.25009
215,2022-11-30,16442.91,17249.0,16428.3,17163.64,303019.80719
216,2022-12-01,17165.53,17324.0,16855.01,16977.37,232818.18218
217,2022-12-02,16978.0,17105.73,16787.85,17092.74,202372.2062
218,2022-12-03,17092.13,17188.98,16858.74,16885.2,154542.57306
219,2022-12-04,16885.2,17202.84,16878.25,17105.7,178619.13387
220,2022-12-05,17106.65,17424.25,16867.0,16966.35,233703.29225
221,2022-12-06,16966.35,17107.01,16906.37,17088.96,218730.76883
222,2022-12-07,17088.96,17142.21,16678.83,16836.64,220657.41334
223,2022-12-08,16836.64,17299.0,16733.49,17224.1,236417.97804
224,2022-12-09,17224.1,17360.0,17058.21,17128.56,238422.06465
225,2022-12-10,17128.56,17227.72,17092.0,17127.49,140573.97937
226,2022-12-11,17127.49,17270.99,17071.0,17085.05,155286.47871
227,2022-12-12,17085.05,17241.89,16871.85,17209.83,226227.49694
228,2022-12-13,17208.93,18000.0,17080.14,17774.7,284462.9139
229,2022-12-14,17775.82,18387.95,17660.94,17803.15,266681.22209
230,2022-12-15,17804.01,17854.82,17275.51,17356.34,223701.96882
231,2022-12-16,17356.96,17531.73,16527.32,16632.12,253379.04116
232,2022-12-17,16631.5,16796.82,16579.85,16776.52,144825.66684
233,2022-12-18,16777.54,16863.26,16663.07,16738.21,112619.31646
234,2022-12-19,16739.0,16815.99,16256.3,16438.88,179094.28305
235,2022-12-20,16438.88,17061.27,16397.2,16895.56,248808.92324
236,2022-12-21,16896.15,16925.0,16723.0,16824.67,156810.96362
237,2022-12-22,16824.68,16868.52,16559.85,16821.43,176044.27235
238,2022-12-23,16821.9,16955.14,16731.13,16778.5,161612.00947
239,2022-12-24,16778.52,16869.99,16776.62,16836.12,100224.29096
240,2022-12-25,16835.73,16857.96,16721.0,16832.11,125441.07202
241,2022-12-26,16832.11,16944.52,16791.0,16919.39,124564.00656
242,2022-12-27,16919.39,16972.83,16592.37,16706.36,173749.58616
243,2022-12-28,16706.06,16785.19,16465.33,16547.31,193037.56577
244,2022-12-29,16547.32,16664.41,16488.91,16633.47,160998.47158
245,2022-12-30,16633.47,16677.35,16333.0,16607.48,164916.31174
246,2022-12-31,16607.48,16644.09,16470.0,16542.4,114490.42864
247,2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41374
248,2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57191
249,2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.53733
250,2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.18862
251,2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.56641
252,2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28415
253,2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.5688
254,2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.89695
255,2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.52723
256,2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.42581
257,2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.60653
258,2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32178
259,2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.87823
260,2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.74951
261,2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549
262,2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262
263,2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409
264,2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949
265,2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925
266,2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659
267,2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432
268,2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286
269,2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938
270,2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254
271,2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223
272,2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581
273,2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315
274,2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085
275,2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204
276,2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121
277,2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909
278,2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271
279,2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751
280,2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904
281,2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295
282,2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917
283,2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069
284,2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482
285,2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717
286,2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955
287,2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94247
288,2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58433
289,2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65163
290,2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.76791
291,2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.40109
292,2023-02-15,22199.84,24380.0,22047.28,24324.05,375669.16111
293,2023-02-16,24322.87,25250.0,23505.25,23517.72,450080.68366
294,2023-02-17,23517.72,25021.11,23339.37,24569.97,496813.21376
295,2023-02-18,24568.24,24877.0,24430.0,24631.95,216917.25213
296,2023-02-19,24632.05,25192.0,24192.57,24271.76,300395.99542
297,2023-02-20,24272.51,25121.23,23840.83,24842.2,346938.56997
298,2023-02-21,24843.89,25250.0,24148.34,24452.16,376000.82868
299,2023-02-22,24450.67,24476.05,23574.69,24182.21,379425.75365
300,2023-02-23,24182.21,24599.59,23608.0,23940.2,398400.45437
301,2023-02-24,23940.2,24132.35,22841.19,23185.29,343582.57453
302,2023-02-25,23184.04,23219.13,22722.0,23157.07,191311.8101
303,2023-02-26,23157.07,23689.99,23059.18,23554.85,202323.73623
304,2023-02-27,23554.85,23897.99,23106.77,23492.09,283706.0859
305,2023-02-28,23492.09,23600.0,23020.97,23141.57,264140.99894
306,2023-03-01,23141.57,24000.0,23020.03,23628.97,315287.41737
307,2023-03-02,23629.76,23796.93,23195.9,23465.32,239315.45219
308,2023-03-03,23465.32,23476.95,21971.13,22354.34,319954.19785
309,2023-03-04,22354.34,22410.0,22157.08,22346.57,121257.38132
